hostname,model,version,hash
aaa2-nts01.example.org,OpenGear/IM72xx,4.3.1,75de795e
bbb4-nts01.example.org,OpenGear/CM71xx,4.3.1,75de795e
bbb4-nts02.example.org,OpenGear/CM71xx,4.3.1,75de795e
ccc2-nts2.example.org,OpenGear/IM72xx,4.6.0,62465a52
ddd2-nts1.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
bbb3-nts1.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
bbb3-nts2.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
eee2-nts01.example.org,OpenGear/ACM700x,4.3.0,f5ad8650
fff2-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
ggg2-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
hhh1-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk0-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk0-nts02.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts01.example.org,OpenGear/CM41xx,3.16.6u5,2142d205
kkk1-nts02.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
kkk1-nts03.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts04.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts05.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts07.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts06.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts08.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts09.example.org,OpenGear/IM42xx,4.1.1u2,594cb83d
kkk1-nts10.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts11.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts12.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts13.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
kkk1-nts14.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk1-nts15.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk3-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk7-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
kkk9-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
jjj1-nts1.example.org,OpenGear/CM71xx,4.3.1,75de795e
jjj1-nts2.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
iii1-nts1.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
iii1-nts2.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
zzz1-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
zzz5-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
lll1-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
ccc2-nts1.example.org,OpenGear/IM42xx,4.1.1u2,594cb83d
ccc2-nts3.example.org,OpenGear/IM72xx,4.6.0,62465a52
ccc3-nts01.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
ccc3-nts02.example.org,OpenGear/CM71xx,4.3.0,f5ad8650
nnn1-nts1.example.org,OpenGear/CM71xx,4.3.1,75de795e
nnn1-nts2.example.org,OpenGear/CM71xx,4.3.1,75de795e
ooo1-nts1.example.org,OpenGear/IM72xx,4.6.0,62465a52
ppp2-nts01.example.org,OpenGear/IM72xx,4.6.0,62465a52
